00:00 ~ 00:07 -  으 으
06:30 ~ 06:39 -  그거를 만약에 다른 데다가 타이핑을 하시고 그걸 아마 컨트롤 C 하시고 안드로이드 스튜디오에 붙여넣기 하시면 자동으로
06:39 ~ 06:47 -  for loop를 코틀린 문법으로 바꿔 줄 거라고 생각이 됩니다. 코틀린에서 이름 짓는 규칙 네이밍 컨벤션이죠. 이거 보면은
06:40 ~ 07:00 - Naming Conventions 이름 짓는 규칙 여러 단어일 때 Camel case humps (낙타 혹) 처럼 이어지는 단어의 첫 글자 대문자 ex) mediaPlayer class 및 object (명사): 첫 글자 대문자 derived: base (파생 클래스 한 칸 띄고콜론,띄우고기반클래스) var. val 첫 글자 소문자 변수명: 타입 (변수명 바로 뒤에 콜론, 한 칸 띄고 타입) fun (동사): Factory fun: 글자 대문자 const: 모두 대문자 및_ (under bar) 사용 블록 시작 중괄호는 한줄 내리지 말고 오른쪽에 위치 4
06:47 ~ 07:00 -  일단 처음에는 여러 단어일 때 camel case, 낙타 혹처럼 시작을 하다가 첫 글자를 첫 글자 그러니까 두번째 단어의 첫 글자를 대문
07:00 ~ 07:04 -  이런 camel 케이스를 사용하는데요. 예를 들면 이런거죠.
07:00 ~ 07:20 - 대문자 및 중괄호는 한 줄 내리지 말고
07:04 ~ 07:09 -  미디어 라고 하는 단어하고 플레이어 라고 하는 단어 두 개가 합쳐지다 보니까
07:09 ~ 07:13 -  미디어는 이렇게 쓰고 플레이어에 시작하는 두 번째 단어의
07:13 ~ 07:18 -  첫 글자를 대문자로 쓰는 이런 거라고 보시면 되겠습니다.
07:20 ~ 07:30 -  자 그 다음에 클래스하고 오브젝트라고 하는 것이 있는데요. 이 class하고 object에서는 첫 글자를 대문자로 쓰시면 되겠구요. 그 다음에 참고적으로
07:20 ~ 07:40 - 및 object
07:30 ~ 07:32 -  이렇게 파생 클래스가 있고, 서브 클래스가 있고,
07:32 ~ 07:34 -  슈퍼 클래스가 있다고 했을 때는
07:34 ~ 07:39 -  여기에 이 콜론 앞뒤로 한 칸씩 이렇게 띄워 주셔야 됩니다
07:39 ~ 07:41 -  뭐 꼭 그렇게 안 해도 되긴 하지만
07:40 ~ 08:00 - derived Ibase
07:41 ~ 07:45 -  이렇게 하는 것이 일반적인 규칙이다라는 거고요
07:45 ~ 07:48 -  그 다음에 변수를 만들 때는 var 이나
07:48 ~ 07:52 -  var 이나 아니면 val 을 사용을 하게 되는데요 이럴 때는 변수명하고 VAR, VAR, VAL을 사용하게 됩니다.
07:52 ~ 08:00 -  이럴때는 변수명과 콜론을 붙여서 콜론을 사용합니다.
08:00 ~ 08:04 -  여기에 이거랑 구분된다고 보시면 되겠죠.
08:04 ~ 08:10 -  그리고 여기에 있는 class, object, 변수 이런 것들은
08:10 ~ 08:14 -  명사로 만들어 주면 좋을 것 같고요.
08:14 ~ 08:17 -  반면에 function, fn은 function인데요.
08:17 ~ 08:21 -  이 function은 동사로 만들어주는 것이 좋겠습니다.
08:21 ~ 08:26 -  이 변수와 function은 첫 글자를 소문자로 만들어주면 되겠구요.
08:26 ~ 08:30 -  그 다음에 factory function 같은 경우에는 첫 글자
08:30 ~ 08:34 -  대문자로 만들어 줘라 이런 것도 이름 규칙에 들어 있습니다
08:34 ~ 08:42 -  그 다음에 const는 constant로 만들 때는 const val로 만들 때는 모두 대문자를 쓰고
08:42 ~ 08:47 -  underbar를 사용하는 것이 좋겠다는 것이 규칙에 정해져 있구요
08:47 ~ 08:55 -  그 다음에 block을 시작할 때 어떤 분들은 block을 내려 가지고 한 줄을 더 잡아먹는 그냥 한 줄만 달랑 잡아먹는
08:55 ~ 09:00 -  여는 중괄호를 그냥 한 줄만 블록 시작을 한 줄을 잡아먹는 게 있는데 그렇게 하시면
09:00 ~ 09:06 -  줄의 끝에 레이스를 열고 중괄호를 열고 그 다음부터 계속 쓰고
09:06 ~ 09:11 -  마지막에 붙일 때는 우리가 쓰는 일반적으로 쓰는 거 이렇게 쓰라는 거죠
09:11 ~ 09:15 -  이렇게 이미 이렇게 하고 계신 분들 많으실 테니까요
09:15 ~ 09:20 -  이거는 나중에 소스 코드 보시면 금방 적용이 되실 거라고 생각이 됩니다
09:21 ~ 09:30 -  자 그 다음에 클래스 라고 하는 건데요 이거는 음 여러분들 그냥 자반 아니면 10% 에서 많이 보셨던 거기 때문에 똑같이 그냥 클래스
09:30 ~ 09:34 -  라고 쓰시면 되겠구요 거부감이 없구요 자바의 익스텐즈 라고 하는 것 대신에
09:34 ~ 09:43 -  10++에서 사용했던 콜론을 사용하게 됩니다 그래서 아까 말씀드린 대로 이 콜론 앞뒤에 스페이스를 넣어 주면 좋다고 했죠
09:40 ~ 10:00 - Java나 C++와 같은 키워드 사용 Java의 extends 대신 C++의 간결한 : (콜론) 콜론 앞뒤에 space 상속받을 클래스 구현할 인터페이스를(콤마)로 구분하여 :(콜 론) 뒤에 나열 예제 MainActivity : AppCompatActivity() { 클래스는 AppCompatActivity 클래스로부터 상속 받 음 클래스 정의 앞에는 open이 붙어 있을 것임 실제로는 클래스임 클래스의 생성자는 파 라미터 없는 생성자 호출 5
09:43 ~ 09:53 -  자 그 다음에 상속받을 클래스 하고 구현할 인터페이스를 컴마로 구분해해서 콜론 뒤에 넣어주시면 됩니다.
09:53 ~ 09:55 -  여기에는 지금 interface는 없는데요.
09:55 ~ 09:57 -  만약에 interface가 있다고 했을 경우에는
09:57 ~ 10:00 -  여기다가 콤마 한 다음에
10:00 ~ 10:04 -  onClickListener 이런 식으로 써 주시면 된다는 거죠
10:04 ~ 10:09 -  이제 보시면 이렇게 클래스 쓰시고요 다 이해되시죠? 여기 main 쓰시고 여기에
10:09 ~ 10:17 -  app-compat-activity 있는데 이상한 것은 여기 이렇게 괄호 붙은 것만 좀 이해가 안되실 수 있겠네요
10:17 ~ 10:23 -  이 괄호가 붙어 있다는 건 뭐�은요. MainActivity 클래스 생성자가
10:23 ~ 10:25 -  여기 AppCompatActivity 클래스에
10:25 ~ 10:30 -  파라미터가 아무것도 없는 이런 생성자를 호출해 주겠다는 것을
10:30 ~ 10:37 -  의미해주고 있는 겁니다. 그리고 지금 이렇게 app-compat-activity
10:37 ~ 10:41 -  라고 부르는데요. 여기서 지금 상속을 받고 있는데 이렇게 상속을 받으려면
10:41 ~ 10:46 -  app-compat-activity 라는 곳에 가보면 거기 앞에 open-class 라고 오픈이
10:46 ~ 10:49 -  붙어 있을 거다 라는 거죠. 근데 여러분이 따라가 보시면 실제로는
10:49 ~ 10:51 -  자바 클래스입니다. 그래서 오픈이 붙어 있지는 않지만요. 여러분이 따라가 보시면 실제로는 자바 클래스입니다.
10:51 ~ 10:53 -  그래서 오픈에 붙어 있지 않지만요.
10:53 ~ 10:56 -  여러분이 전부 다 코트리는 프로그램을 짜실 때는
10:56 ~ 11:00 -  만약에 나중에 다른 클래스에서 상속 받겠다 했을 때는
11:00 ~ 11:11 -  그 다음에 클래스에 있는 그 constructor들인데요. 생성자들인데요.
11:11 ~ 11:19 -  보통의 경우에는 클래스 이름이랑 똑같이 만들어 줬었는데요.
11:19 ~ 11:21 -  kotlin에서는 그렇게 사용하지 않습니다.
11:20 ~ 11:40 - constructors 이름 뒤에 괄호를 붙이지 않고 constructor 키워드 MyView View primary constructor(ontext: Context) this(context, attrs: null) 없음 Context, AttributeSet?) attrs, defStyleAttr: 0) AttributeSet?, Int) super(context, defStyleAttr) 총 3개의 생성자 가장 마지막의 3개 파라미터 받는 것이 super 클래스(View)의 생 성자 Primary header에 이름 뒤에 정의 init 인스턴스 생성할 때실행됨 6
11:21 ~ 11:24 -  그래서 아예 이 constructor 라고 하는 키워드를 사용하는 거죠.
11:24 ~ 11:27 -  constructor가 아니고 constructor가 없죠.
11:27 ~ 11:30 -  constructor라고 하는 키워드를 사용합니다.
11:30 ~ 11:39 -  사용해줍니다. 그래서 이런식으로 constructor 하고 괄호 열고 그 다음에 이렇게 써주는 이런 형식으로 되어 있는 거죠
11:39 ~ 11:48 -  자 앞에서는 여기다가 앞에 클래스 이름이 메인 액티비티가 나오고 colon 하고 app-compat-activity 하고 괄호 열고 닫고가 있었는데요
11:40 ~ 12:00 - Lttrs,
11:48 ~ 11:52 -  여기서는 지금 괄호 열고 닫고가 없네요.
11:52 ~ 11:56 -  그리고 대신에 여기에 super를 불러주는 이런 형식으로 되어 있고요.
11:56 ~ 12:00 -  그 다음에 이 클래스 헤더에다가
12:00 ~ 12:05 -  생성자 라고 하는게 있는데 클래스 이름 뒤에 아예
12:00 ~ 12:20 - 생성자 I
12:05 ~ 12:09 -  constructor 를 만들어 줄 때는 이 constructor 라는 걸 또 지워도 됩니다.
12:09 ~ 12:14 -  만약에 여기에 myview 해가지고 여기에 뭔가 괄호가 있고 쭉 뭐가 있고
12:14 ~ 12:19 -  블록이 나온다 그러면은 아 이거는 constructor 구나 이렇게 하시면 되겠죠.
12:19 ~ 12:22 -  지금은 primary 생성자가 없습니다.
12:22 ~ 12:24 -  예제 한번 보시면요.
12:24 ~ 12:30 -  예제는 지금 총 3개의 Constructor를 만들고 있는데요.
12:30 ~ 12:38 -  제일 밑에 있는게 진짜입니다. 그래서 원래 이렇게 세 가지가 들어가게 되는데 이 세 개를 갖다가 받은 다음에 그거를 super를
12:38 ~ 12:47 -  이렇게 불러주는 것을 보여주고 있죠. 나머지는 지금 여기에다가 만약에 두 개짜리를 constructor를 불렀다 라고 했을 경우에는
12:40 ~ 13:00 - super(conte,
12:47 ~ 12:54 -  이 자기 자신의 constructor 이 세 개짜리 있죠. 거기에 default 값을 0으로 넘겨서
12:54 ~ 13:00 -  이 3개짜리를 불러주는 것을 보여주고 있구요 default 값은 여기 equal
13:00 ~ 13:05 -  이렇게 써 있을 때 디폴트 값이구요 3개의 짜리를 0을 넣어서 불러주는 거구요
13:05 ~ 13:08 -  2개 짜리에서 3개 짜리를 불러주는 거라고 보시면 되겠구요
13:08 ~ 13:13 -  여기에 보시면 얘는 1개만 준 거죠 그러면 여기에서 여기다 너를 집어 넣어 가지고
13:13 ~ 13:16 -  두 번째 너를 불러 줘 가지고 요거를 불러주는 겁니다
13:16 ~ 13:21 -  그러니까 만약에 이렇게 하나만 넣었다고 하면 여기서 얘를 불러주고 여기서 얘를 불러주는
13:20 ~ 13:40 - L ontext,
13:21 ~ 13:26 -  그리고 나서 여기에서 Superclass에 있는 생성자를
13:26 ~ 13:30 -  불러준다 이렇게 보시면 되겠죠.
13:30 ~ 13:39 -  이 인스턴스를 생성할 때 실행이 되어 초기화 처리를 할 수 있도록 되어 있습니다.
13:40 ~ 14:00 - 상속 최상위 Any 명시하지 않아도 암시적으로 상속됨 equals(), toString(), hashCode()과 확장 함수 언어의 철학은 명시적으로 만드는 것임 재정의 가능 멤버에 open 명시적으로 붙여줘야함 C++에서는 virtual로 override 혼용 Super 는 open, subclass 한 sub 클래스에서 더 이상 자신의 재정의하지 못 하게 하려면 final Overriding 에서도 open, 에서 open인 fun만 subclass 가능 7
13:41 ~ 13:53 -  상속이라고 하는 것을 보면 최상위 클래스는 Any라고 되어 있습니다. 그래서 이것은 아무것도 지정을 하지 않고 그냥 클래스를 만들어도
13:53 ~ 14:00 -  any에서 상속받은 걸로 되구요 여기에 equals 라든지 toString 그 다음에 hashCode 이렇게 세가지
14:00 ~ 14:03 -  이 메소드를 갖고 있는 것입니다.
14:00 ~ 14:20 - equals(), toString0, hash(Code()과 확장 함수
14:03 ~ 14:06 -  여기다가 확장함수라고 하는 개념이 있는데요.
14:06 ~ 14:09 -  따로 설명은 드리지 않지만
14:09 ~ 14:12 -  클래스 이름을 점으로 해서 함수를 확장할 수 있어서
14:12 ~ 14:15 -  상당히 편리한데요.
14:15 ~ 14:18 -  그런 것들로 여러가지 함수들이 들어 있습니다.
14:18 ~ 14:25 -  사용할 수 있습니다. 코틀린 언어를 만들 때 철학은 명시적으로 만드는 것이었다고 합니다.
14:20 ~ 14:40 - final-override
14:25 ~ 14:30 -  그래서 제정이 가능한 멤버의 오픈을 명시적으로
14:30 ~ 14:38 -  붙여줘야 된다 라고 했네요. 그러니까 클래스를 설계를 할 때 어 이거는 상속된 클래스에서
14:38 ~ 14:45 -  그 서브 클래스에서 가져다 쓸 수 있는 멤버다 라고 하면 거기다가 앞에다가 open을 붙여주라고 되어 있구요
14:40 ~ 15:00 - 명시적으로 만드는
14:45 ~ 14:54 -  만약에 그걸 가져다 쓰는 데서 여기에서는 가져다 쓸 때는 override 라고 하는 것을 써라 라고 되어 있는 거죠
14:55 ~ 15:00 -  C++ 에서는 virtual 이라고 하는 것을 가지고
15:00 ~ 15:04 -  제일 처음에 virtual이 있으면 그 뒤에는 virtual을 안 써도 virtual 함수 가상함수가 됐었죠.
15:05 ~ 15:09 -  자바 같은 경우에는 계속 전부 다 다 모듈함수를 다 dynamic binding 하니까
15:09 ~ 15:11 -  이런 virtual 키워드가 필요 없었죠.
15:12 ~ 15:16 -  superclass에는 open, subclass에는 override를 사용을 한다 라고 되어 있고요.
15:16 ~ 15:18 -  같은 개념인 거죠.
15:18 ~ 15:20 -  그 다음에 오버라이딩 할 때도
15:20 ~ 15:23 -  superclass에서 open이라고
15:23 ~ 15:25 -  fenu function인데요.
15:25 ~ 15:27 -  만약에 function 앞에 open을 붙여놨다 그러면
15:27 ~ 15:30 -  subclass에서는 override라고 하는 것을
15:30 ~ 15:33 -  사용하시면 되겠죠
15:35 ~ 15:41 -  오버라이딩 중요하니까요 상속하고 오버라이딩이 제일 중요합니다
15:40 ~ 16:00 - (overriding) super: (base) 의미 super를 사용해 의 해당 함수 호출 onCreate(savedInstanceState: Bundle?) super.onCreate(savedInstarceState) @outer 클래스이름 inner 인 경우에 outer class의 이름지정가능 super< 또는 인터페이스 이름>.멤버0 클래스 및 구현하는 interface의 멤버 이름이 같을 때 구분 가 능 8
15:41 ~ 15:45 -  상속하고 재정이 오버라이딩을 보는데요
15:45 ~ 15:49 -  super 라고 하는 것을 사용하는데 이 super 라고 하는 것은
15:49 ~ 15:52 -  super 클래스, 베이스 클래스를 의미하게 됩니다.
15:52 ~ 15:54 -  그래서 super를 사용해서
15:54 ~ 15:56 -  super 클래스에
15:56 ~ 15:58 -  해당 함수를 호출하는 거죠.
15:58 ~ 16:00 -  예제를 한번 보시면요.
16:00 ~ 16:08 -  여기에 지금 메인 액티비티라고 하는 것은 앱 컴팻 액티비티라고 하는 함수에서 상속받아 가지고 만들었는데요.
16:00 ~ 16:20 - 같을 때 구분 가
16:09 ~ 16:12 -  거기에 onCreate 라고 하는 이런 펑션이 있는데,
16:12 ~ 16:13 -  걔가 오버라이드 되어 있죠.
16:14 ~ 16:20 -  그러면은 이 앱 컴팻 액티비티라고 하는 것에 있는 onCreate가 불리지 않고,
16:22 ~ 16:25 -  자동으로 내가 만든 거에 있는 여기에 만든 이 onCreate를 불러주게 됩니다
16:25 ~ 16:30 -  그러다 보니까 이게 불리면은 app-compat-activity
16:30 ~ 16:42 -  여기에서 explicit하게 이렇게 super에 있는 onCreate를 부를 때 이렇게 super를 사용한다고 보시면 되겠습니다.
16:42 ~ 16:49 -  자 그 다음에 super하고 이렇게 n 마크를 쓰고 outer class 이름을 쓰는 경우가 있는데요.
16:49 ~ 16:52 -  만약에 inner class인 경우에 outer class 이름을 지 경우가 있는데요. 만약에 inner class인 경우에
16:52 ~ 16:54 -  outer class 이름을 지정할 때
16:54 ~ 16:58 -  이런 식으로 super, nmark, outer class 이름
16:58 ~ 17:00 -  이렇게 사용을 한다는 거
17:00 ~ 17:09 -  알아두도록 하시구요 그 다음에 수퍼 라고 하는거에 이렇게 꺽쇠를 써 가지고 클래스 아니면 인터페이스 이름을 쓰고 거기에 .member
17:09 ~ 17:18 -  를 이렇게 쓰는 경우가 있습니다 그래서 만약에 클래스 하고 구현하려고 하는 인터페이스 이름이 만약에 같을 때 두개 같다면
17:18 ~ 17:21 -  그냥 수퍼 라고 하면 어떤 건지 모를 테니까 이 멤버 그냥 super라고 하면 어떤 건지 모를 테니까
17:21 ~ 17:24 -  이 멤버 이름이 똑같다면 어떤 건지 모를 테니까
17:24 ~ 17:26 -  여기다가 이렇게 꺽쇠를 써 가지고
17:26 ~ 17:30 -  어떤 클래스, 어떤 인터페이스에 있는 멤버다라는 것을
17:30 ~ 17:35 -  구분할 수 있도록 이런 것을 문법을 제공해 주고 있습니다
17:37 ~ 17:44 -  자 그 다음에 좀 특이한 건데요 컴패니언 오브젝트 라고 하는 것을 제공을 하고 있는데
17:40 ~ 18:00 - companion static 인스턴스를 생성하지않아도 클래스를 통해 접근가능 Kotlin에서는 클래스에 오직 한 개의 가질 수 있음 AppCompatActivity(), View.OnClickListener const REQUEST GUNDAM = 100 KEY_NAME "name" } 다른 MainActivity.REQUEST GUNDAM과 같이 접근 9
17:44 ~ 17:51 -  음 저희가 인스턴스를 생성하지 않고 클래스를 통해서 접근할 수 있는 클래스 이름만 가지고도 접근할 수 있는
17:51 ~ 17:53 -  그런 스태틱이라고 하는 것을
17:53 ~ 17:55 -  우리가 흔히 사용을 하게 되는데요.
17:55 ~ 17:57 -  코틀린에서는 이런 스태틱이 없습니다.
17:58 ~ 18:00 -  스태틱을 사용할 수가 없습니다.
18:00 ~ 18:10 -  그래서 Kotlin에서는 클래스에서 딱 한개만 companion object를 만들었습니다.
18:00 ~ 18:20 - 에서는 Kotlin에서는 한 클래스에
18:10 ~ 18:16 -  companion object를 만들고, companion object를 만들면 에러가 나겠죠.
18:16 ~ 18:22 -  그래서 companion object를 가지고 있는 것을 보시면 가지고 있는 거라고 보시면 되겠구요.
18:20 ~ 18:40 - 한 클래스에
18:22 ~ 18:26 -  나중에 오브젝트 설명 들으시면 뭔가 이해가 되실 것 같구요.
18:26 ~ 18:30 -  이렇게 companion object라고 하는 동반 객체라고 번역이 되었고요.
18:30 ~ 18:36 -  동반 객체라고 하는 것을 사용을 한다는 것을 알아두시면 되겠습니다
18:37 ~ 18:46 -  자 그래서 여기 보면 const value 해가지고 우리 상수 쓸 때 main activity.requestUnderbar 건담 이런식으로 쓰게 되죠
18:40 ~ 19:00 - Kotlin에서는 한 wal
18:46 ~ 18:50 -  그러니까 그런걸 할 때 이런 companion object, 객�체를 만들지 않더라도
18:50 ~ 18:54 -  MainActivity.keyName을 사용하기 위해서
18:54 ~ 18:56 -  companion object를 만들고,
18:56 ~ 19:00 -  const value를 만들어서 쓰는 방법을
19:00 ~ 19:04 -  여러분들이 아마 필요하실 수도 있으니까 알아 두도록 하시구요
19:04 ~ 19:09 -  다른 클래스에서는 이렇게 가져다 쓴다는 거죠
19:10 ~ 19:18 -  자 그 다음에 오브젝트 라고 하는게 나왔는데요 아까 companion object 할 때가 오브젝트죠 그래서 이 오브젝트 라고 하는 것은
19:18 ~ 19:25 -  새로운 클래스를 만들지 않고 상속을 받아 가지고 재정의 할 때 주로 이 오브젝트를 많이 사용하게 됩니다.
