00:00 ~ 00:14 -  안녕하세요. 웹프로그래밍 강의입니다.
06:22 ~ 06:30 -  그 다음에 직접 그때 같이 따라 하셔도 되고 아니면 멈춰 놓고 제가 했던 내용을
06:30 ~ 06:39 -  머릿속에서 기억을 해가지고 아 여기서 이렇게 했었나 하고 잘 모르겠으면 다시 동영상을 보고 해가지고 여러분들이 따라 하시다 보면은 굉장히
06:39 ~ 06:47 -  어 이 강의가 끝났을 때 여러분들이 놀랄 정도로 프로그래밍 실력이 향상돼 있을 거라고 생각합니다
06:47 ~ 06:52 -  그래서 간혹 가다가 전공 공부 어떻게 해야 되냐고 물어보는 학생들이 있으면 제가 맨날 그렇게 얘기하거든요.
06:52 ~ 06:56 -  그냥 쉬운 거를 많이 프로그래밍 해봐라.
06:56 ~ 06:59 -  했던 거 또 하고 또 하고 또 하고 해가지고 완전히 익힐 때까지 내게
07:00 ~ 07:08 -  될 것 같을 때까지 해봐라 그럽니다 예를 들어서 음 자동차 운전을 우리가 배운다 라고 하면은
07:08 ~ 07:17 -  좀 새로운 어려운 길을 처음부터 고속도로 가면 얼마나 무섭겠어요 너무 무섭죠 그죠 뭐 차도 쌩쌩 달리는데 그리고 조금만 실수를 해도 큰 사고로
07:17 ~ 07:21 -  이어질 수 있으니까 그 긴장감이라고 하는 것은 이루 말할 수 없습니다.
07:22 ~ 07:25 -  그래서 운전 연습할 때나 이럴 때도
07:25 ~ 07:28 -  좀 쉬운 길이죠. 매일 내가 다니는 길
07:28 ~ 07:29 -  처음에 굉장히 짱이에요.
07:30 ~ 07:34 -  짧은 구간 이런 데를 여러분들이 반복적으로 하다가 보면
07:34 ~ 07:36 -  이제 그걸 조금씩 넓혀나가고
07:36 ~ 07:39 -  맨날 다니는 길에서 조금 한 번 옆으로 돌아보기도 하고
07:39 ~ 07:44 -  이런 식으로 하시는 것이 훨씬 효과적이라고 저는 믿고 있습니다.
07:44 ~ 07:46 -  제가 공부할 때도 그렇게 했었고요.
07:47 ~ 07:54 -  그래서 앞으로 여러분들께서 진짜로 해보기를 원하신다 라고 하면은
07:54 ~ 08:00 -  좀 이런식으로 반복해 가지고 한번 했다 그러고 한번 완성했다 그러고
08:00 ~ 08:08 -  이렇게 생각하지 마시고 동영상 강의를 끄고 아니면 멈춰 놓고 처음부터 끝까지 여러분이 직접 한번 해보시기 바랍니다
08:08 ~ 08:14 -  그게 굉장히 도움이 될 거라고 생각합니다 그러다 보면 분명히 알고 있다고 생각했는데 막히는 구간이 나올 수 있거든요
08:14 ~ 08:30 -  그럼 그때 이제 소스 코드를 본다든지 제가 일반적으로 이제 콜렙 같은걸 써가지고 구글 콜렙에 그 소스코드나 게시판에다가 강의 홈페이지에 올려놓을테니까 그걸 보시면서
08:30 ~ 08:34 -  여러분들이 하시면 좋을 거라고 생각이 됩니다
08:34 ~ 08:41 -  자 그래서 이번 강의의 범위는 한정되어 있거든요
08:41 ~ 08:46 -  한정되어 있는데 웹프로그래밍이라고 하는 것이 굉장히 광범위합니다
08:46 ~ 08:53 -  그래서 제가 제한된 시간 안에 모든 기술을 다 다루는 것은 힘들 거라고
08:53 ~ 09:00 -  제가 다 알지도 못하고요. 모든 기술을 다 다루는 것은 힘들 거라고 생각이 되고
09:00 ~ 09:04 -  아주 기초적인 것, 그 다음에 많이 사용이 되는 것, 이런 것들을
09:04 ~ 09:08 -  여러분들한테 지금 2022년인데요.
09:08 ~ 09:11 -  이 시점에서 말씀을 드리도록 그렇게 할 겁니다.
09:11 ~ 09:17 -  근데 이게 또 이 웹프로그래밍은 유행이 계속 변해가지고요.
09:17 ~ 09:19 -  굉장히 따라잡기가 힘든 분야 중에 하나입니다.
09:19 ~ 09:27 -  컴퓨터공학과가 원래 그렇기는 한데 이 웹프로그래밍도 많이 사용을 하다 보니까 그런 것들이 굉장히 심하게 되죠.
09:30 ~ 09:36 -  그래도 기본적으로 많은 사람들이 쓰는 것들이 있기는 합니다.
09:36 ~ 09:45 -  근데 여기서 제가 고른 그런 그 예를 들면 여기에 리액트라든지 익스프레스라든지 이런거는 일부라고 여러분들이 생각을 해주시면 될 것 같구요.
09:45 ~ 09:56 -  기본적으로는 뭐 html 그 다음에 css 그 다음에 자바스크립트 이런 것들은 일반적으로 굉장히 많이 사용이 되고 있으니까
09:56 ~ 10:00 -  여기서도 javascript, typescript 이런 것들도
10:00 ~ 10:07 -  요즘에 많이 또 쓰고 있고 하니까요 그런 것들이 어 좀 유행을 많이 따라간다
10:07 ~ 10:14 -  그래서 여러분들이 동영상 강의 나 뭐 이런 것들 유튜브 나 이런 데서 쉽게 보실 수 있을텐데
10:14 ~ 10:18 -  어 물론 이제 그런 기초적인 것은 변하지 않습니다 그래서 그런 것들은 보셔도 좋은데
10:18 ~ 10:22 -  만약에 지금 2022년이라고 말씀드렸는데
10:22 ~ 10:30 -  이걸 보시는 분께서 한 2년 3년이 지났다 라고 하면은 조금 더 최신 버전의 어떤 그런
10:30 ~ 10:35 -  내용을 좀 찾아 보시는 게 좋지 않을까 굉장히 빨리 변하니까요
10:35 ~ 10:39 -  그런 것들을 좀 여러분들이 고려를 하시면은 좋을 거라고 생각이 됩니다
10:39 ~ 10:44 -  그래서 HTML, CSS, JavaScript가 기본이 될 거고요
10:44 ~ 10:49 -  그 외에 Node.js 라든지 그 다음에 React, Express 이런 것들을
10:49 ~ 10:50 -  이것만으로도 굉장히 많거든요
10:50 ~ 10:57 -  근데 대표적으로 이런 Front��트엔드 백엔드에 대해서 이런 쪽으로 한번 살펴보도록 하겠습니다.
11:00 ~ 11:11 -  자 저도 역사 그렇게 좋아하지는 않는데요 그냥 흘려서 들으시기 바랍니다 이게 음 대충 한 1969년 이니까 대충 한 1970년 정도로 생각을 하시면
11:11 ~ 11:19 -  되겠죠 1970년 제가 1970년 생 인데요 어 그래서 뭐 그때 이제 제가 태어났을 때
11:19 ~ 11:21 -  정도 제 인생하고 비슷하게
11:21 ~ 11:24 -  이게 흘러갔다고 보시면 될 것 같은데
11:25 ~ 11:28 -  아르파넷이라고 아르파라고 하는 게 있죠. 아르파
11:28 ~ 11:30 -  그래서 미 국방부
11:30 ~ 11:38 -  어 여러분들 뭐 gps 라든지 그 위치 추적하기 위한 gps 라든지 이런 것 전부다 국방부 미국 국방부 3
11:38 ~ 11:48 -  국방부에서 했던 거죠 그래서 어 여기서도 최초 네트워크인 아르파 라고 하는 것이 1969년 그 전부터 어 있긴 있었는데 아르파 라는
11:48 ~ 11:52 -  조직이 어 그때 이제 69년도에 나온 것 같고요
11:52 ~ 11:56 -  저도 이번 강의 준비하느라고 조사한 겁니다
11:56 ~ 12:00 -  그래서 아르파를 연결해 가지고 아르파넷이라고 하는
12:00 ~ 12:06 -  이런걸 구성을 했다고 그러고요 이게 나중에 인터넷으로 발전을 했다고 합니다
12:06 ~ 12:16 -  그러니까 여러분들께서 느끼시기에 여러분들 아마도 많은 이걸 듣고 계시는 분들의 많은 분들은 태어나기 전이실 거라고 생각이 되니까
12:16 ~ 12:28 -  굉장히 오래됐네 이렇게 생각하실 수 있을지 모르겠지만 글쎄요 그렇게 우리가 흔히 이렇게 일반적으로 많이 사용하고 있는 것을 봐서는
12:28 ~ 12:29 -  굉장히 역사적입니다
12:30 ~ 12:35 -  짧다고도 상대적인 거겠지만 저는 그렇게 생각이 됩니다
12:35 ~ 12:40 -  짧은 시간 동안 어마어마하게 발전을 많이 했다 이렇게 생각하셔도 되겠죠
12:40 ~ 12:49 -  그래서 이 때 이제 그 아르파 넷이 나오게 되면서 프로토콜 이라고 하는 단어를 사용하게 되는데요
12:49 ~ 12:53 -  통신을 위한 약속 또는 규약 이런 것들을 프로토콜이라고
12:54 ~ 12:55 -  얘기를 하게 되죠.
12:55 ~ 13:00 -  그래서 우리가 가장 많이 사용을 하게 될 HTTP
13:00 ~ 13:09 -  라고 하는거 하이퍼텍스트 트랜스포 프로토콜 이라고 하는 것이 어 이때 그 어 이때 나온 것은 아니구요
13:09 ~ 13:16 -  어이 프로토콜 이라고 하는게 우리가 제일 많이 쓸게 이건데 프로토콜 이란 단어가 이때 나왔고 이게 발전을 하면서
13:16 ~ 13:22 -  하이퍼텍스트 트랜스포 프로토콜이 나왔다 이렇게 하시면 되겠습니다 자 그 다음에 어 여기 하이퍼텍스트 트랜스퍼 프로토콜이 나왔다. 이렇게 생각하시면 되겠습니다.
13:25 ~ 13:26 -  자, 그 다음에 여기 하이퍼텍스트는 이거는
13:28 ~ 13:30 -  제가 위키백과 보니까 이걸 붙였었더라고요. 좀 고치겠습니다.
13:30 ~ 13:38 -  그래서 Hypertext Transfer Protocol, Hypertext를 전송하는 프로토콜
13:38 ~ 13:45 -  그래서 프로토콜이라고 하는 것이 여러분들이 이제 흔히 앞으로 듣게 되실 거라고 생각이 되는데
13:45 ~ 13:50 -  어떤 통신 규약이다. 그래서 이 규약이라고 하는 것은 뭔가 이렇게 딱 맞춰 놓은 거죠.
13:51 ~ 13:54 -  그러니까 그거에 벗어나면 안 된다라는 걸 얘기를 하는 겁니다.
13:55 ~ 14:00 -  자, 그다음에 초기에 이 아르파넷을 구성을 하고
14:00 ~ 14:10 -  초기에 가장 많이 사용됐던 사람들이 제일 많이 사용했던 것은 1971 년도에 개발된 이메일 우리 맨날 쓰는 이메일이 있죠
14:10 ~ 14:30 -  그 메일 그래서 원래는 데이터 주고받고 이렇게 하라고 했는데 사람들이 실제로 많이 쓴 것은 메일을 쓸 때 그 전우편, 잘 지냈니 하고 물론 요즘에는 파일 첨부해서 보내고 이런 것도 굉장히 흔하긴 하니까
14:30 ~ 14:39 -  공유가 되겠지만 어 다 업무적으로 뭐 내일 어디 가는 데 너 거기 있니 뭐 이런 그 메일들이 굉장히 많이 사용이 됐다 라는 거죠
14:39 ~ 14:46 -  원래 의도와는 다르게 어 이메일이 굉장히 많이 사용이 됐다 라고 했었습니다
14:46 ~ 14:52 -  자 이메일을 우리가 생각할 때 골뱅이 있죠? 골뱅이 우리나라에서 골뱅이라고 부르는
14:52 ~ 14:53 -  골뱅이 같이 생겼죠?
14:53 ~ 14:57 -  골뱅이 뭐 이렇게 동글동글하니까요
14:57 ~ 15:00 -  자 얘를 보면 여기 A자가 이렇게 들어있죠?
15:00 ~ 15:08 -  add sign 또는 add mark라고 부르게 됩니다. 그래서 예를 들면 이렇게 쭉 있을 때
15:08 ~ 15:19 -  abc 하고 골뱅이가 있고 gmail.com 이라고 만약에 되어 있다라고 하면은 읽을 때는 그냥 얘는 at이라고 있습니다. 그래서 abc at gmail.com
15:19 ~ 15:23 -  이런 식으로 읽을 때는 at이라고 읽는다는 거 알아두시면 좋겠습니다.
15:26 ~ 15:29 -  의미는 at이라고 하는 게 어디 어디에 있다 그런 뜻이죠.
15:30 ~ 15:34 -  어디 어디에 있는 이라고 하는 의미를 가지고 있습니다.
15:34 ~ 15:38 -  그래서 id 하고 메일 서버를 구분한다는 거죠.
15:38 ~ 15:44 -  abc app gmail.com 하면 gmail.com이 메일 서버가 될 거고요.
15:44 ~ 15:49 -  그 앞에 n마크 s 사인 앞에 있는 거
15:49 ~ 15:59 -  골뱅이 앞에 있는 abc가 id가 된다는 거죠. 그래서 어느 메일 서버에 있는 id다. 그래서 a 있는을 의미하게 된다는 거죠.
16:00 ~ 16:11 -  자 그리고 미국에서 이렇게 시작을 했구요 국내에서는 1982년 한 10년 정도 지났나요? 10 몇 년 지났나요?
16:11 ~ 16:20 -  그래서 서울대하고 금호공과대학교가 구미에 있는데요 그래서 이렇게 구미시라고 이렇게 썼습니다
16:20 ~ 16:22 -  뭐 제가 자부심을 가질 것은 아니지만요 어쨌든 서울대하고 구미시라고 이렇게 썼습니다 뭐 제가 자부심을 가질 거는 아니지만요
16:22 ~ 16:27 -  어쨌든 서울대하고 구미시 소재의 현재 그 애트리
16:27 ~ 16:30 -  여기도 제가 학교 오기 전에
16:30 ~ 16:41 -  어쨌든 에트리라고 하는 이름이 KIT 그때 뭐 이런 전자통신연구소 였는지 전자연구원이었는지
16:41 ~ 16:49 -  어쨌든 구미에 있는 서울대하고 구미에 있는 연구원하고 통신을 했다고 하는데요
16:49 ~ 16:51 -  나무위키 보고 제가 처음 알았는데
16:51 ~ 16:53 -  미국 다음으로 세계에서 두 번째
16:53 ~ 16:55 -  네트워크 통신이라고 하네요
16:55 ~ 16:59 -  어쨌든 우리나라도
17:00 ~ 17:03 -  굉장히 좀 뭐 요즘에 전 세계에서 가장 빠르다 하는데
17:03 ~ 17:08 -  실제로 순위 나온 거 보니까 1위는 아니었던 것 같긴 한데
17:08 ~ 17:09 -  아무튼 우리나라 굉장히 빠르죠.
17:10 ~ 17:13 -  그 다음에 좀 나라가 작아서 그런지는 모르겠지만
17:13 ~ 17:17 -  그 인프라가 굉장히 잘 갖춰져 있죠. 우리나라 같은 경우에.
17:19 ~ 17:24 -  자부심을 가져도 될 것 같습니다. 통신상국으로.
17:24 ~ 17:30 -  자, 그게 이제 전체적인 역사를 말씀드렸던 거고 실제로 제가
17:30 ~ 17:35 -  느꼈던 제가 경험했던 것들을 말씀드리게 되면은
17:35 ~ 17:38 -  제가 이게 90년인지 91년인지 모르겠는데
17:38 ~ 17:42 -  제가 1학년 대학교 1학년 2학년 때
17:42 ~ 17:46 -  2학년 3학년 1학년 때는 아니었던 거 같고요
17:46 ~ 17:49 -  2학년인지 3학년인지
17:49 ~ 17:51 -  시리얼 통신을 했던 게 기억이 납니다.
17:51 ~ 17:54 -  그래서 그 당시에는 시리얼 통신을 할 수도 있었고
17:54 ~ 17:57 -  그다음에 패럴렐 통신을 할 수도 있었어요.
17:57 ~ 18:00 -  메인보드에 보면 지금 보면
18:00 ~ 18:09 -  usb 포트 들만 잔뜩 들어가 있는데 어 그 다음에 이제 뭐 비디오 어 hdmi 라든지 이런 것들 들어가 있고 하는데 그 당시에는 여기
18:09 ~ 18:18 -  시리얼 보트 하고 패럴랄 보트가 있었어요 그래서 시리얼 보트는 이런 그 통신 뭐 컴퓨터 끼리 통신하는 것도
18:18 ~ 18:23 -  가능하지만 컴퓨터 대 컴퓨터가 아니고 컴퓨터 대 장치 같은 걸 통신하기 위해서
18:23 ~ 18:28 -  이런 RS-231C 포트 연결할 수 있는 게 붙어 있었고요.
18:28 ~ 18:29 -  그 다음에 프린터를 연결하고
18:30 ~ 18:39 -  패럴렐 포트는 USB로 연결을 합니다.
18:39 ~ 18:44 -  시리얼 통신은 시리얼은 비트 단위로 계속 보내는 것입니다.
18:44 ~ 18:49 -  패럴렐은 8비트, 8비트 한꺼번에 보내는 것이고
18:49 ~ 18:53 -  시리얼 통신은 1비트씩 보내는 걸 시리얼 통신이라고 하죠.
18:53 ~ 19:00 -  그래서 그냥 제 생각에는 패러렐이 한 번에
19:00 ~ 19:05 -  8개를 보내고 얘는 1비트씩 보낸다. 얘는 8비트 얘는 1비트 그러면
19:05 ~ 19:11 -  얘가 더 빠르지 않을까 그렇게 생각을 하는데 요즘에 우리들이 쓰고 있는 거 있죠.
19:11 ~ 19:17 -  USB 이게 유니버셜 시리얼 버스거든요. 그러니까 USB도 그렇고요.
19:17 ~ 19:30 -  그다음에 시리얼 ATA라고 하는 거 여러분들 SATA라고 부르는데 SATA방식 하드디스크, 하드디스크 샀다라고 하면 SATA방식을 사가지고 꽂았다 이렇게 얘기를 하게 되죠
19:30 ~ 19:36 -  그래서 이제 그럴 때 그 사타 방식 이런 것들이 전부 다 시리얼 통신 방법을 사용하고 있다는 거죠
19:36 ~ 19:50 -  그래서 자세히는 모르겠는데 더 효율적이고 그 기술이 발전할수록 시리얼이 더 그 속도를 더 빠르게 할 수 있다 라고 하네요
19:50 ~ 19:54 -  자 아무튼 1900 한 대학교 2년, 3학년 그때쯤에
19:54 ~ 20:00 -  이런 식으로 시리얼 통신을 해서 숙제가 나오니까
20:00 ~ 20:06 -  숙제 해가지고 파일 전송하고 채팅하고 이런 프로그램 짰던 게 기억이 납니다
20:06 ~ 20:15 -  음 그 뒤에는요 어 집에서 집에서 통신하는 것은 모뎀 을 썼죠 뭐 ATDT
20:15 ~ 20:20 -  뭐 1410인가 뭐 해서 하이텔 연결하고 나운누리 유니텔
20:20 ~ 20:22 -  뭐 철단 이런 것들이 있었습니다.
20:22 ~ 20:25 -  그래서 집에 있는 전화선을 쓰는 거죠.
20:25 ~ 20:30 -  그래서 만약에 제가 전화선을 이걸 통신을 낮에 쓰고 있다라고 하면은
20:30 ~ 20:35 -  아무리 걸어도 안되는 거죠. 물론 끊는 방법도 있긴 있었습니다.
20:35 ~ 20:40 -  뭐 여러가지 그런게 있었는데 어쨌든 이런 것들을 써 가지고 그 당시에
20:40 ~ 20:45 -  채팅이라든지 아니면 소스코드를 개발하면 어디다 올려 가지고 공유하고
20:45 ~ 20:50 -  이제 이런 것들이 이루어져 가지고 통신들을 사용을 했었고요.
20:50 ~ 21:00 -  그 다음에는 대학원. 대학원에 가가지고 93년도에 대학원을 가서는 그 LAN이라고 하는 것이
21:00 ~ 21:09 -  네트워크죠 그래서 랜이 구축이 되어 있었습니다 그래서 예전에는 파일을 보낸다 라고 하면은 디스켓에다가 카피를 해가지고
21:09 ~ 21:19 -  그걸 주고 이렇게 했었는데 그러다 보면 디스켓이 뻥 나기도 하고 제출하고 갔는데 나중에 보니까 뭐 안되고 이러는 경우도 있었구요
21:19 ~ 21:22 -  그 다음에 이제 시리얼 통신 같은 걸 실제로 연결해 가지고
21:22 ~ 21:24 -  파일을 주고 받기도 했었는데 굉장히 불편하죠
21:24 ~ 21:27 -  야 나 보낼 테니까 너 그 프로그램 실행해라
21:27 ~ 21:30 -  그럼 거기다 이제 그쪽에서 실행하고 나도 실행해서
21:30 ~ 21:41 -  그래서 굉장히 불편했었는데 대학원에 들어가게 되면 대학원 연구실에 버스 방식으로 네트워크 카드를 메인보드에 꽂고요.
21:42 ~ 21:45 -  그 다음에 검은색 줄, 검은색 케이블이 있습니다.
21:45 ~ 21:49 -  검은색 케이블에 보면 거기에 T커넥터, T자처럼 생겼다고 해서
21:49 ~ 21:54 -  T자처럼 생긴 거에 양옆 이렇게 케이블이 연결돼 있고
21:54 ~ 21:57 -  이렇게 생긴 거 여기 밑에 있는 이 부분에다 네트워크 카드 여기 있죠
21:57 ~ 22:00 -  이거를 컴퓨터에 이제 꽂는 거예요 그래서 네트워크 카드에 꽂는 거예요
22:00 ~ 22:05 -  여기 선들을 이렇게 해서 한 선의 줄줄이 사탕으로 이렇게 쭉 연결돼 있는
22:05 ~ 22:10 -  컴퓨터들이 연결돼 있는 그런 버스 방식의 네트워크를 방식대로 사용을 했었죠.
22:10 ~ 22:15 -  그리고 맨 끝에다가는 터미네이터를 양쪽에 T커넥터가 이렇게 있다라고 하면
22:15 ~ 22:22 -  여기가 내가 맨 마지막 끝에 있는 컴퓨터다 그러면 여기다가 터미네이터를 꽂아가지고 사용을 하는
22:22 ~ 22:25 -  그래서 한 명이 신입생이 왔다 그러면은
22:25 ~ 22:30 -  신입생 받아라 그러면은 여기다가 제가 터미네이터를 풀어가지고 여기다가
22:30 ~ 22:37 -  연결해 가지고 새로운 컴퓨터에 있는 D-Connect 연결해 주고 그 다음에 옆에다가 제가 꽂았던 터미네이터를 그쪽에 꽂으면 되는
22:37 ~ 22:47 -  이런 식의 그런 방식들을 사용했습니다. 그래서 이렇게 잘 썼어요. 그래서 Samba 라고 하는 이런
22:47 ~ 22:52 -  시스템을 써 가지고 그냥 공유 폴더 같은 걸 만들어 놓고
22:52 ~ 22:56 -  거기다가 파일을 보낼 수 있게 되니까 굉장히 편한 거죠.
22:56 ~ 23:00 -  그래서 상당히 편하게 써져 있어요.
23:00 ~ 23:08 -  워크래프트라고 써 놨는데, 여러분들 스타크래프트 게임 아시나요? 그 전에 워크래프트 게임이 나왔거든요.
23:08 ~ 23:19 -  그래서 워크래프트 게임을 하기에 너무나도 좋은 환경이었죠. 그래서 LAN으로 네트워크 구축이 되어 있으니까 워크래프트를 열심히
23:19 ~ 23:30 -  밤새 가지고 연구하고 힘들 때 잠깐 게임을 하는 그런 환경이 아주 좋은 환경입니다.
23:30 ~ 23:36 -  구성이 되어 있었습니다. 자, 근데 이제 이런 거죠. 제가 랩장이었는데
23:36 ~ 23:43 -  저는 워크래프트 이런 걸 잘하진 못했었는데, 우리 연구실에 누가 이거 되게 잘해. 그러면 이제 그쪽 상대방 연구실에서 우리가 더 잘할걸?
23:43 ~ 24:00 -  그러면 그래, 한번 붙어. 이제 그러는 거죠. 그러면 우리가 그쪽 연구실로 가서 컴퓨터에서 하든지 아니면 그쪽 사람들이 와서 하고 이래야 되는데 아무래도 불편하게 되거든요.
