00:00 ~ 00:26 -  안녕하세요 안녕하세요. 웹프로그래밍 강의입니다.
07:43 ~ 07:47 -  그래서 그런 마킹할 수 있는 뭔가 부가적인 정보를
07:47 ~ 07:52 -  추가로 가지고 있을 수 있는 그런 것들이 HTML이 된다는 거죠.
07:52 ~ 08:00 -  그런 부가적인 정보로서 태그라는 것하고 그 다음에 애트리뷰트 이런 것들을
08:00 ~ 08:06 -  실제 데이터가 있더라도 그거를 뭔가 꾸며주는 그런 것들을 갖고 있는 게 있을 수 있다는 거죠.
08:06 ~ 08:16 -  자, 그래서 기본적으로 HTML이라고 하는 것은 웹페이지를 표현하기 위한 그런 언어라고 생각이 되고요.
08:16 ~ 08:21 -  그래서 굉장히 많이 지금 웹페이지를 안 쓰는 곳이 거의 없죠.
08:21 ~ 08:25 -  그래서 굉장히 많이 사용이 되고 있는데요.
08:25 ~ 08:30 -  이렇게 많이 사용되는 이유는 뭘까요?
08:30 ~ 08:32 -  복잡하면 사람들이 많이 사용할까요? 아니겠죠.
08:32 ~ 08:36 -  그래서 배우기 쉽고 사용하기 편하기 때문에
08:36 ~ 08:39 -  무지막지하게 많이 사용이 된다는 거죠.
08:41 ~ 08:42 -  제가 보면 항상 그런 것 같아요.
08:42 ~ 08:46 -  컴퓨터공학 전공에서 보면 지난 시간에도 말씀을 드렸지만
08:46 ~ 08:50 -  쉬운 게 일반적으로 널리 사용이 되는 것 같습니다.
08:51 ~ 08:56 -  그리고 웹브라우저가 텍스트 형식의 HTML을 읽어가지고
08:56 ~ 09:00 -  렌더링 한다 라는 표현을 썼는데요
09:00 ~ 09:05 -  렌더링 한다는 것은 그림을 그려준다 라고 생각하시면 되겠습니다
09:05 ~ 09:07 -  화면에 출력을 한다는 거죠
09:07 ~ 09:12 -  실제로는 텍스트 형태의 그런 파일인데
09:12 ~ 09:19 -  그거를 웹 브라우저가 뭔가 좀 이쁘게 보여준다는 거죠
09:19 ~ 09:24 -  그리고 또 중요한 특징이 W3C에서 표준화한다는 거죠.
09:24 ~ 09:30 -  그래서 이런 표준화하는 기구가 따로 있다는 얘기는 뭐냐면은
09:30 ~ 09:39 -  우리가 마음대로 태그를 원하는 대로 바꿔 가지고 사용할 수가 없다는 얘기죠
09:39 ~ 09:48 -  그래서 아까 말씀드린 대로 좀 느슨하다고 했죠 그래서 html 은 우리가 뭔가를 잘못 써도 태그림을 내 마음대로 적어 써도
09:48 ~ 09:53 -  적어서 사용하더라도 에러가 발생하지 않습니다.
09:53 ~ 10:00 -  대신에 웹 브라우저가 이거를 아까 이렇게 텍스트 파일 형식을 읽어가지고 렌더링해서 화면에 보여준다고
10:00 ~ 10:06 -  그랬는데 웹브라우저가 읽다 보니까 뭐 이건 뭐지 내가 모르는게 있네 하면 무시하게 된다는 거죠
10:06 ~ 10:23 -  다른 언어 같으면 거기서 뭔가 에러를 발생시킬 텐데 물론 이제 에러를 발생시키는 경우가 있기는 있지만 웬만하면 이거를 그냥 웹브라우저가 화면에 보여 주려고 하거든요 그래서 웹브라우저가 인식하지 못해 가지고 원하는 대로 출력이 될 리가 만무하다 라는 거죠.
10:23 ~ 10:25 -  내가 마음대로 태그를 만들어서 쓴다.
10:25 ~ 10:29 -  그러면 웹브라우저가 그거를 당연히 모를 거다 라는 겁니다.
10:30 ~ 10:36 -  자 HTML의 변천사를 한번 보면요
10:36 ~ 10:47 -  초기에는 다른 문서로 어떤 텍스트보다 뛰어난 하이퍼텍스트라고 했죠
10:47 ~ 10:56 -  그래서 하이퍼링크라는 것을 가지고 한 문서에서 다른 문서로 연결하는 그 링크가 누르면 저희 막 연결되잖아요.
10:56 ~ 11:00 -  그런 것처럼 그런 것이 주요 기능이었다는 거죠.
11:00 ~ 11:09 -  그래서 어떤 사전 같은 거 만드는데 아주 적합하다고 그렇게 그 다음에 지식을 전달할 때 뭐를 막 읽고 있었는데 뭘 몰라요.
11:09 ~ 11:17 -  그러면은 어? 여기서 이게 뭐지 하고 쫓아갈 수 있는 그런 것들이 하이퍼링크라는 걸로
11:17 ~ 11:22 -  구현을 할 수 있으니까 굉장히 좋았다 라는 거죠
11:22 ~ 11:30 -  그래서 이거를 이제 처음에 이 문서를 만들 때 HTML을 만들 때 만드시는 분들이
11:30 ~ 11:41 -  어떤 걸 했었냐면은 어떤 특정 단어라든지 아니면은 특정 문장이 만약에 다른 문서하고 연결이 될 수 있다 여러분들 뭐 위키백화 같은거 생각하시면 되겠죠
11:41 ~ 11:48 -  그러니까 전형적으로 위키백화가 이런 초기에 쓰던 html하고 비슷하다고 볼 수 있을 것 같은데
11:48 ~ 11:51 -  이미지 이런거 거는 그렇게 많지는 않고
11:51 ~ 11:53 -  버튼 같은 것도 이미지로 돼 있고
11:53 ~ 11:54 -  막 이렇지 않고
11:54 ~ 11:56 -  그냥 텍스트 위주로 돼 있는데
11:56 ~ 12:00 -  뭔가 심도 있게 뭐를 또
12:00 ~ 12:03 -  더 궁금한 게 있다면 누르면 쫓아갈 수 있도록 이렇게 되어 있는 거죠.
12:04 ~ 12:07 -  그래서 특정 단어가 다른 문서로 이동할 수 있다.
12:07 ~ 12:09 -  그러니까 그 얘기는 무슨 얘기였냐면
12:09 ~ 12:14 -  이 문서에 대한 문서가, 이 단어에, 죄송합니다.
12:14 ~ 12:20 -  특정 단어에 대한 문서가 이미 만들어져 있다고 하면
12:20 ~ 12:24 -  이 단어를 그 문서하고 연결시키는
12:24 ~ 12:25 -  그런 과정이 필요하다는 거죠.
12:27 ~ 12:29 -  그래서 이 한 문서를 작성을 할 때
12:30 ~ 12:39 -  html 작성을 할 때 그 단어하고 문서를 연결할 링크 정보를 수동으로 아 이거 어디에 연결돼 있을 텐데 이거에 해당하는 단어에 해당하는
12:39 ~ 12:47 -  문서가 있을텐데 하면 그거를 연결을 해줘야 된다는 거죠 정보들을 저장을 해야 된다는 겁니다
12:47 ~ 12:51 -  자 그래서 그럴 때 사용하는 것이 a 라고 하는 태그를 사용하는데요.
12:51 ~ 13:00 -  태그라고 하는 것은 html에서 어떤 제가 이 me markup이라고 했는데
13:00 ~ 13:10 -  이 m에 해당하는 겁니다. 그래서 뭔가 정보가 있는데 그 정보의 부가적인 정보를 감싸서 앞뒤를 이렇게 감싸가지고 쓰는데
13:10 ~ 13:15 -  그거를 태그라고 부르게 되는 거죠. 나중에 다 말씀을 드리겠습니다.
13:15 ~ 13:24 -  어쨌든 그 태그라는 걸로 a를 사용을 한다라는 겁니다. a. 간단하게 그냥 짧은 이걸 뭔가 이렇게 짧게 만들었다는 얘기는
13:25 ~ 13:28 -  많이 사용을 할 거다라고 예측을 했다는 게 되겠죠.
13:28 ~ 13:30 -  그래서 왜냐하면
13:30 ~ 13:33 -  매번 써야 되는 걸 굉장히 길게 쓴다 그러면 굉장히 답답할 테니까
13:33 ~ 13:39 -  그냥 단순하게 A만 써가지고 링크를 쓸 수 있도록 그렇게 만들어 놓은 거죠.
13:40 ~ 13:41 -  문서를 링크할 수 있도록.
13:41 ~ 13:45 -  그래가지고 뭔가를 읽다 보니까 사전을 읽다 보니까
13:45 ~ 14:00 -  위키피디아 같은 걸 읽다 보니까 모르는 게 나와서 다시 또 그거를 쫓아가서 보고 또 그러다 보니까 거기에서 그 문서에서 또 모르는 게 있어 갖고 또 쫓아가서 보고 뭐 이런거 그렇게 꼬리에 꼬리를 무는 해결
14:00 ~ 14:09 -  궁금증을 해결하는 방법에 유용하다는 거죠. 근데 이제 이렇게 유용할 거라고 생각을 했는데
14:09 ~ 14:16 -  실제로는 뭔가를 찾다가 모르는 다음에 나와서 쫓아가서 보고, 쫓아가서 보고 그러다 보니까
14:16 ~ 14:22 -  길을 잃는 그런 경우가 발생을 하더라 라는 겁니다
14:22 ~ 14:30 -  우리가 흔히 뭐 나는 누구고 여기는 어디냐 뭐 이런거 있죠 그래서 지금 내가 뭘 찾으려고
14:30 ~ 14:35 -  보고 있었지 근데 여기까지 왔지 이런 케이스들이 많이 생기더라 라는 거죠
14:35 ~ 14:41 -  그러니까 원래 내가 목적지가 있었는데 거기를 가기 위해서 문서를 보고 있다가
14:41 ~ 14:50 -  여기서 다른 데로 연결되고 또 다른 데로 연결되고 이런 길을 잃는 경우가 발생을 하더라 라는 겁니다
14:50 ~ 14:51 -  그래서 초기에는 이런 식으로 많이 사용이 됐고요 그런 경우가 발생을 하더라 라는 겁니다
14:51 ~ 14:55 -  그래서 초기에는 이제 이런 식으로 많이 사용이 됐구요
14:55 ~ 15:00 -  요즘에는 근데 뭐 이렇게 문장으로
15:00 ~ 15:06 -  있는 것보다는 예를 들면 포털 사이트 나 이런 기사들이 있는거 보면은
15:06 ~ 15:14 -  주로 이제 기사들 제목 같은거 전체가 그 밑줄이 그어져 있죠. 그러니까 연결할 수 있도록 되어 있고 아니면은
15:14 ~ 15:19 -  이미지 버튼들 같은거 굉장히 많이 사용을 하고 굉장히 미려하게 이쁘게
15:19 ~ 15:22 -  이미지들 굉장히 많이 활용하고 있는 거
15:22 ~ 15:23 -  여러분들 보실 수 있겠죠
15:23 ~ 15:24 -  사진이 있어 사진으로 연결되고
15:24 ~ 15:27 -  이런 것들 그런 거 흔히 사용을 하고 있죠
15:27 ~ 15:30 -  그래서 훨씬 더 이쁘게 사용을 하는데
15:30 ~ 15:37 -  처음에 이렇게 쓰다가 컴퓨터 성능이 높아지면서 그런 이미지들을 사용하는 것이 아니고
15:37 ~ 15:43 -  Flash라든지 ActiveX 컨트롤 이런 걸 들어보신 적이 있는지 모르겠는데
15:43 ~ 15:47 -  Silverlight 이런 것들 들어보신 적이 있는지 모르겠는데
15:47 ~ 15:54 -  그런 것들, 플러그인들을 웹브라우저에서 사용하는 그런 경우가 굉장히 많아집니다.
15:54 ~ 16:00 -  그래서 물론 이제 뭐
16:00 ~ 16:12 -  좋죠. 추가의 플러그인들을 설치하다 보니까 기존의 웹브라우저에서 하지 못했던 일들을 많이 할 수 있는 것은 좋았는데
16:12 ~ 16:18 -  다만 이제 운영체제의 문제였었는지 아니면 브라우저의 문제였는지는 모르겠지만
16:18 ~ 16:21 -  보안 측면이라든지 이런 측면에서는
16:21 ~ 16:24 -  그렇게 썩 좋지 못했다는 것이 현실입니다.
16:24 ~ 16:27 -  그래가지고 지금 보면은
16:27 ~ 16:30 -  Flash라든지 ActiveX 플러그인
16:30 ~ 16:42 -  경우가 거의 없죠. 물론 이제 html5 라고 하는 그런 새로운 표준이 나와 가지고 거기서 이런 것들을 전부 다 일부를 수용을 하고 이런 것도 있겠고
16:42 ~ 16:55 -  그 다음에 웹 어셈블리 뭐 그런 말씀드린 적이 있는데 그럼 웹 어셈블리 같은 거 경우도 또 나오기 때문에 이제 이런 것들이 좀 바뀔 거라고 생각이 되는데요
16:55 ~ 16:56 -  지금 이거는 변천사니까
16:56 ~ 17:00 -  중간 과정으로 이런 것들을 쓰는 것이 있었던
17:00 ~ 17:05 -  이런 걸 많이 쓰던 시절이 있었다는 겁니다
17:05 ~ 17:11 -  그래서 어쨌든 간에 요즘에는 아까 말씀드린 대로 텍스트 단어의 링크를 연결하는 것보다는
17:11 ~ 17:15 -  이미지나 제목의 링크를 연결하는 문장 같은 거에 연결하거나
17:15 ~ 17:20 -  아니면 사진을 누르면 연결되고 이런 것들이 굉장히 많아졌다는 거고요
17:20 ~ 17:25 -  본래의 데이터뿐만이 아니고, 진짜 데이터가 있는 것뿐만이 아니고
17:25 ~ 17:30 -  HTML을 뭔가 미려하게, 이쁘게
17:30 ~ 17:41 -  꾸미기 위한 요소들이 많이 포함되어 있다 라고 그래서 굉장히 요즘 그 웹페이지를 이쁘게 만드는 그런 추세가 있다라는 거죠
17:41 ~ 17:54 -  그래갖고 뭔가 데이터들이 있으면 예를 들면 글씨가 있다라고 그러면 글씨 폰트를 굉장히 다양하게 쓰고 작게도 쓰고, 크게도 쓰고, 색깔도 바꾸고 그래가지고
17:54 ~ 18:00 -  좀 이쁘게 만들기 위해서 굉장히 다양하게 실제 데이터
18:00 ~ 18:08 -  예를 들면 이런 문장이 있다라고 하면 이 문장에다가 얘하고 얘하고 색깔을 다르게 해가지고 넣는다든지 뭐 이런 식으로 뭐가 굉장히 그
18:08 ~ 18:20 -  실제 데이터, 이 문장이라는 데이터 말고도 꾸미는 데이터가 많이 들어가 있는 그런 추세가 있었다라는 거죠.
18:20 ~ 18:23 -  자 근데 너무 그렇게 또
18:25 ~ 18:26 -  꾸미는데 치중을 하다 보니까
18:27 ~ 18:30 -  이게 별로 그렇게 좋지 않다는 것을
18:30 ~ 18:32 -  저희가 인식을 한 거죠.
18:32 ~ 18:34 -  그래서 소프트웨어 엔지니어링 같은 데서 보면
18:34 ~ 18:39 -  데이터하고 표현, 뭔가 실제 데이터
18:39 ~ 18:43 -  아까 예를 들었던 이런 문장이 데이터라고 보면
18:43 ~ 18:47 -  얘를 지금 여기에 폰트를 가지고 이렇게
18:47 ~ 18:50 -  제가 생각하기엔 이쁘다고 생각하는 이런 폰트를 가지고
18:50 ~ 18:51 -  이렇게 출력을 했는데 이런 것들이 표현이 되어있고 제가 생각하기엔 이쁘다고 생각하는 폰트를 가지고
18:51 ~ 18:52 -  이렇게 출력을 했는데
18:52 ~ 18:55 -  이런 것들이 표현이 된다는 거죠
18:55 ~ 18:57 -  글씨 크기도 보면은
18:57 ~ 19:00 -  이 크기하고 이 크기하고
19:00 ~ 19:06 -  앞에 이런 것도 붙였고 이런 것들이 이제 표현에 해당하는 거다 라는 겁니다
19:06 ~ 19:16 -  문장도 있고 이게 문장이 데이터고 이런 나머지 것들 이런 것들이 글자 색이라든지 이런 것들이 표현이 된다는 거죠
19:16 ~ 19:24 -  그래서 예전에는 이거를 한꺼번에 그냥 웹브라우저에서 이렇게 보여줬다라고 하면
19:24 ~ 19:30 -  여기다가 폰트라든지 이런 것들을 다 지정을 해가지고 굉장히 데이터하고
19:30 ~ 19:33 -  표현이라고 하는 것이
19:33 ~ 19:35 -  혼재되어 있는
19:35 ~ 19:36 -  그런 게 있었는데
19:36 ~ 19:39 -  요즘에는 이런 거를 분리하려고 한다라는 거죠
19:39 ~ 19:43 -  자 그래서 데이터라고 하는 거는
19:43 ~ 19:45 -  실제 내용이 되는 데이터를
19:45 ~ 19:46 -  얘기를 하는 거고요
19:46 ~ 19:48 -  표현이라고 하는 것은 데이터를 시각적으로
19:48 ~ 19:50 -  출력하기 위해서 꾸미는 방법이라고 했었죠
19:50 ~ 19:55 -  그래서 이 데이터하고 표현, 예전에 무슨 웹 에디터,
19:55 ~ 20:00 -  유명한 그런 웹 에디터들이 많이 있었는데 그런 거를 써가지고
20:00 ~ 20:04 -  페이지를 만들게 되면 굉장히 복잡한 페이지가 나옵니다.
20:04 ~ 20:09 -  그래서 폰트, 색상, 여러 가지 것들이
20:09 ~ 20:13 -  표현하는데 그냥 위주로 되어 있기 때문에
20:13 ~ 20:18 -  굉장히 복잡한 그런 HTML 소스가 나오게 되는 거죠.
20:18 ~ 20:20 -  그래서 어떤 게 데이터고,
20:20 ~ 20:24 -  어떤 게 화면에 보여주기 위한 건지가 혼재되어 있으니까
20:24 ~ 20:30 -  진짜 원하는 데이터만을 꺼내기가 그렇게 쉽지 않았다고 생각합니다.
20:30 ~ 20:43 -  볼 수 있겠죠. 자 그래서 데이터하고 표현을 분류하는 추세를 보면은 소프트웨어에서 바람직한 구조를 설계할 수 있도록 해주는 디자인 패턴이라고 하는 게 있는데요.
20:43 ~ 20:54 -  컴퓨터공학과 학생들은 디자인 패턴을 좀 공부하셔야 됩니다. 컴퓨터공학과가 아니신 분들은 그렇게 볼 필요는 없을 거라고 생각이 되고요.
20:54 ~ 21:00 -  이런 거죠. 이거는 뭐냐면 컴퓨터 프로그램을 특히 컴퓨터공학과
21:00 ~ 21:09 -  학생들한테 제가 매번 하는 얘기가 설계를 잘해야 된다 라고 얘기한다고 했었죠. 그러면 어떻게 잘하는데
21:09 ~ 21:18 -  어떻게 좋은 설계고 어떻게 해야 돼? 그러면 막막하죠. 그래서 그거를 프로그램을 정말 잘하는 사람들이 4명이
21:18 ~ 21:30 -  GANG OF 4 라고 하는 사람들이 디자인 패턴 이라고 하는 책을 된 거죠 이럴 때는 이렇게 하고 저럴 땐 저렇게 라고 어떤 패턴 별로 어 이렇게 하는게 좋을
21:30 ~ 21:42 -  좋겠다라고 구조들을 제시를 했습니다 굉장히 유용하게 다 생각이 되는데 어쨌든 뭐 어 직접 적용하려면 뭐 그렇게 쉽지 않은데 어쨌든 이 디자인 패턴들이
21:42 ~ 21:52 -  쉬운 것들도 많이 있구요 그래서 어 따를 수 있는 것도 많이 있고 하는데 그 중에 하나가 뭐냐면 아주 기초적인 구조에서 기초적인 게 MVC 모델이 됩니다.
21:52 ~ 22:00 -  그래서 앱을 만들 때, 어플리케이션을 만들 때 한꺼번에 그냥 다 몰아서 하는 게 아니고
22:00 ~ 22:09 -  모델 뷰 컨트롤러 이렇게 나눠 가지고 프로그래밍을 해라 역할 분담을 서로 나눠서 해라 이런 추세들이 있습니다
22:09 ~ 22:16 -  예전부터도 프로그램을 웬만큼 한다고 했던 사람들은 모듈 프로그래밍이라는 걸 했었거든요
22:16 ~ 22:26 -  그래서 모듈별로 나눠 가지고 기능에 따라서 모듈을 나눠 넣고 그 모듈에 해당 기능을 구현해 가지고 그렇게 사용을 하고 있었는데
22:26 ~ 22:30 -  그게 조금 더 발전을 해 가지고 이제 클래스로 발전을 한 겁니다.
22:30 ~ 22:45 -  그래서 클래스들을 만들어 가지고 클래스들을 가지고 모아 가지고 거기에 객체들을 만들어 가지고 객체들의 집합으로 그런 어플리케이션을 구성을 하고 있는데요.
22:45 ~ 22:53 -  거기서 대표적으로 해야 되는 일들 뭔가 비즈니스 로직 같은 게 필요하게 될 거고요
22:53 ~ 23:00 -  그 다음에 그거를 화면에 눈에다가 보여주는 그런 부분이 있겠죠 그래서 모델이라고 하는 부분이
23:00 ~ 23:03 -  데이터를 관리하고 비즈니스 로직을 처리하는 부분이고
23:03 ~ 23:07 -  뷰라고 하는 부분이 그거를 화면에 출력해 주는 그런 부분입니다
23:07 ~ 23:12 -  그래서 컨트롤러가 모델에 있는 내용을 가져다가 뷰한테 넘겨 줘 가지고
23:12 ~ 23:15 -  그거를 출력하는 이런 식으로 되어 있는 것을
23:15 ~ 23:18 -  이 MVC 모델이 발전해 가지고
23:18 ~ 23:22 -  굉장히 다양한 뭐 이런 것들이 나오게 되는데요.
23:22 ~ 23:30 -  그 중에 하나가 MFC, 마이크로소프트에서 마이크로소프트 파운데이션 클래스죠.
23:30 ~ 23:40 -  어플리케이션 프레임워크를 위해서 마이크로소프트에서 어플리케이션 프레임워크를 위해서 만든 MFC 클래스, 마이크로소프트 기반 클래스들
23:40 ~ 23:51 -  여기에 보시면 이 프로그래밍하는 방법이 보면 도큐멘트 뷰 구조라고 하는 것을 제공을 하게 됩니다. 요즘에는 MVVM 이런 거, 모델 뷰, 뷰 모델 이런 거 들어보셨는지 모르겠는데
23:51 ~ 23:55 -  바인딩하고 이런 거, 그런 식으로 계속 발전이 되는데
23:55 ~ 24:00 -  그런 것들의 그 아주 기초적인 거에
